T_g_190,s_m_190,New Temp,Humidity,
12,0.149,32,50,1
12,0.142,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.142,32,50,1
12,0.145,32,50,1
12,0.142,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.142,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.148,32,50,1
12,0.148,32,50,1
12,0.148,32,50,1
12,0.145,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.148,32,50,1
12,0.148,32,50,1
12,0.148,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.143,32,50,1
12,0.147,32,50,1
12,0.143,32,50,1
12,0.146,32,50,1
12,0.143,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.146,32,50,1
12,0.141,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.146,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.141,32,50,1
12,0.141,32,50,1
12,0.146,32,50,1
12,0.144,32,50,1
12,0.149,32,50,1
12,0.144,32,50,1
12,0.146,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.149,32,50,1
12,0.149,32,50,1
12,0.142,32,50,1
12,0.144,32,50,1
12,0.139,32,50,1
12,0.139,32,50,1
12,0.149,32,50,1
12,0.149,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.144,32,50,1
12,0.142,32,50,1
12,0.144,32,50,1
12,0.149,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.147,32,50,1
12,0.147,32,50,1
12,0.145,32,50,1
12,0.145,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.143,32,50,1
12,0.15,32,54,1
12,0.143,32,54,1
12,0.145,32,54,1
12,0.143,32,54,1
12,0.143,32,54,1
12,0.143,32,54,1
12,0.15,32,54,1
12,0.143,32,54,1
12,0.143,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.143,32,54,1
12,0.15,32,54,1
12,0.145,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.145,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.15,32,54,1
12,0.147,32,54,1
12,0.147,32,54,1
12,0.147,32,54,1
12,0.147,32,54,1
12,0.147,32,54,1
12,0.143,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.145,32,54,1
12,0.15,32,54,1
12,0.143,32,54,1
12,0.146,32,54,1
12,0.148,32,54,1
12,0.143,32,54,1
12,0.148,32,54,1
12,0.143,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.145,32,54,1
12,0.15,32,54,1
12,0.147,32,54,1
12,0.147,32,54,1
12,0.145,32,54,1
12,0.143,32,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
12,0.146,32,54,1
12,0.145,32,54,1
12,0.148,32,54,1
12,0.146,32,54,1
12,0.146,32,54,1
12,0.143,32,54,1
12,0.146,32,54,1
12,0.143,32,54,1
12,0.146,32,54,1
12,0.153,32,54,1
12,0.143,32,54,1
12,0.151,32,54,1
12,0.151,32,54,1
12,0.148,32,54,1
12,0.153,32,54,1
11.9,0.143,31.9,54,1
12,0.146,32,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
12,0.151,32,54,1
12,0.148,32,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
12,0.143,32,54,1
11.9,0.148,31.9,54,1
12,0.151,32,54,1
12,0.151,32,54,1
11.9,0.148,31.9,54,1
11.9,0.148,31.9,54,1
11.9,0.148,31.9,54,1
12,0.151,32,54,1
11.9,0.148,31.9,54,1
12,0.148,32,54,1
11.9,0.153,31.9,54,1
11.9,0.146,31.9,54,1
11.9,0.146,31.9,54,1
12,0.148,32,54,1
12,0.15,32,54,1
12,0.143,32,54,1
11.9,0.148,31.9,54,1
12,0.15,32,54,1
12,0.148,32,54,1
12,0.148,32,54,1
11.9,0.143,31.9,54,1
12,0.151,32,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
11.9,0.143,31.9,54,1
11.9,0.146,31.9,54,1
11.9,0.143,31.9,54,1
11.9,0.146,31.9,57,1
11.9,0.143,31.9,57,1
11.9,0.143,31.9,57,1
11.9,0.151,31.9,57,1
11.9,0.151,31.9,57,1
11.9,0.146,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
12,0.148,32,57,1
11.9,0.148,31.9,57,1
11.9,0.138,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.149,31.9,57,1
11.9,0.149,31.9,57,1
11.9,0.149,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.143,31.9,57,1
11.9,0.14,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.143,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.149,31.9,57,1
11.9,0.149,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.145,31.9,57,1
11.9,0.147,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.143,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.7,0.15,31.7,57,1
11.9,0.148,31.9,57,1
11.9,0.15,31.9,57,1
11.9,0.148,31.9,57,1
11.9,0.152,31.9,57,1
11.9,0.147,31.9,57,1
11.7,0.149,31.7,57,1
11.9,0.142,31.9,57,1
11.7,0.142,31.7,57,1
11.9,0.144,31.9,57,1
11.7,0.149,31.7,57,1
11.9,0.149,31.9,57,1
11.7,0.147,31.7,57,1
11.9,0.145,31.9,57,1
11.7,0.137,31.7,57,1
11.9,0.147,31.9,57,1
11.7,0.145,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.143,31.7,57,1
11.7,0.148,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.148,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.148,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.148,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.143,31.7,57,1
11.7,0.143,31.7,57,1
11.7,0.143,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.148,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.143,31.7,57,1
11.7,0.15,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.149,31.7,57,1
11.7,0.144,31.7,57,1
11.7,0.146,31.7,57,1
11.7,0.144,31.7,57,1
11.7,0.144,31.7,57,1
11.7,0.144,31.7,57,1
11.7,0.144,31.7,57,1
11.7,0.149,31.7,57,1
11.7,0.149,31.7,57,1
11.6,0.145,31.6,57,1
11.7,0.147,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.7,0.145,31.7,57,1
11.7,0.147,31.7,57,1
11.6,0.145,31.6,57,1
11.6,0.145,31.6,57,1
11.7,0.147,31.7,57,1
11.7,0.147,31.7,57,1
11.6,0.147,31.6,57,1
11.6,0.144,31.6,57,1
11.7,0.146,31.7,57,1
11.7,0.146,31.7,57,1
11.6,0.146,31.6,57,1
11.6,0.141,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.142,31.6,57,1
11.6,0.142,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.147,31.6,57,1
11.6,0.147,31.6,57,1
11.6,0.147,31.6,57,1
11.6,0.147,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.141,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.143,31.6,57,1
11.6,0.143,31.6,57,1
11.6,0.141,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.149,31.6,57,1
11.6,0.142,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.144,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.146,31.6,57,1
11.6,0.143,31.6,57,1
11.6,0.143,31.6,57,1
11.6,0.145,31.6,57,1
11.6,0.148,31.6,57,1
11.5,0.146,31.5,57,1
11.6,0.148,31.6,57,1
11.6,0.143,31.6,57,1
11.6,0.146,31.6,57,1
11.5,0.143,31.5,57,1
11.6,0.143,31.6,57,1
11.5,0.141,31.5,57,1
11.5,0.141,31.5,57,1
11.6,0.141,31.6,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.6,0.146,31.6,57,1
11.5,0.141,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.151,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.149,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.138,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.143,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.141,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.3,0.138,31.3,57,1
11.5,0.146,31.5,57,1
11.5,0.141,31.5,57,1
11.3,0.148,31.3,57,1
11.5,0.146,31.5,57,1
11.3,0.146,31.3,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.5,0.146,31.5,57,1
11.5,0.146,31.5,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.144,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.144,31.3,57,1
11.3,0.151,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.144,31.3,57,1
11.3,0.144,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.144,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.141,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.146,31.3,57,1
11.2,0.147,31.2,57,1
11.3,0.141,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.149,31.3,57,1
11.3,0.146,31.3,57,1
11.3,0.149,31.3,60,0
11.3,0.149,31.3,60,0
11.2,0.149,31.2,60,0
11.3,0.149,31.3,60,0
11.3,0.146,31.3,60,0
11.3,0.149,31.3,60,0
11.3,0.149,31.3,60,0
11.3,0.146,31.3,60,0
11.2,0.146,31.2,60,0
11.3,0.149,31.3,60,0
11.3,0.146,31.3,60,0
11.3,0.149,31.3,60,0
11.2,0.144,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.147,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.146,31.2,60,0
11.2,0.149,31.2,60,0
11.2,0.144,31.2,60,0
11.2,0.144,31.2,60,0
11.2,0.149,31.2,60,0
11.1,0.149,31.1,60,0
11.2,0.149,31.2,60,0
11.2,0.141,31.2,60,0
11.2,0.149,31.2,60,0
11.1,0.146,31.1,60,0
11.2,0.149,31.2,60,0
11.1,0.149,31.1,60,0
11.2,0.149,31.2,60,0
11.2,0.149,31.2,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.144,31.1,60,0
11.1,0.144,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.151,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.141,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.144,31.1,60,0
11.1,0.144,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.141,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.141,31.1,60,0
11.1,0.141,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.149,31.1,60,0
11.1,0.151,31.1,60,0
11.1,0.143,31.1,60,0
11.1,0.146,31.1,60,0
11.1,0.143,31.1,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.144,31,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.151,31,60,0
11.1,0.149,31.1,60,0
11,0.146,31,60,0
11,0.149,31,60,0
11,0.143,31,60,0
11,0.149,31,60,0
11,0.151,31,60,0
11,0.149,31,60,0
11,0.143,31,60,0
11,0.144,31,60,0
11,0.149,31,60,0
11,0.146,31,60,0
11,0.144,31,60,0
11,0.151,31,60,0
11,0.144,31,60,0
11,0.151,31,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.151,31,60,0
11,0.146,31,60,0
11,0.146,31,60,0
11,0.149,31,60,0
11,0.146,31,60,0
11,0.143,31,60,0
11,0.151,31,60,0
11,0.151,31,60,0
11,0.146,31,60,0
10.8,0.141,30.8,60,0
11,0.146,31,60,0
10.8,0.143,30.8,60,0
11,0.146,31,60,0
10.8,0.143,30.8,60,0
10.8,0.149,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.144,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.143,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.141,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.138,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.143,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.143,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.143,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.8,0.146,30.8,60,0
10.7,0.149,30.7,60,0
10.8,0.146,30.8,60,0
10.8,0.148,30.8,60,0
10.8,0.143,30.8,60,0
10.7,0.143,30.7,60,0
10.8,0.143,30.8,60,0
10.8,0.151,30.8,60,0
10.8,0.143,30.8,60,0
10.7,0.143,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.138,30.7,60,0
10.7,0.146,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.146,30.7,60,0
10.7,0.146,30.7,60,0
10.7,0.148,30.7,60,0
10.7,0.151,30.7,60,0
10.7,0.151,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.146,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.151,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.143,30.7,60,0
10.7,0.151,30.7,60,0
10.7,0.143,30.7,60,0
10.6,0.149,30.6,60,0
10.6,0.143,30.6,60,0
10.7,0.143,30.7,60,0
10.6,0.148,30.6,60,0
10.7,0.143,30.7,60,0
10.6,0.143,30.6,60,0
10.6,0.143,30.6,60,0
10.7,0.143,30.7,60,0
10.6,0.143,30.6,60,0
10.6,0.148,30.6,60,0
10.6,0.143,30.6,60,0
10.6,0.143,30.6,60,0
10.6,0.143,30.6,60,0
10.6,0.145,30.6,60,0
10.6,0.145,30.6,60,0
10.6,0.145,30.6,60,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.146,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.151,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.143,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.15,30.6,62,0
10.6,0.145,30.6,62,0
10.6,0.148,30.6,62,0
10.6,0.148,30.6,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.6,0.145,30.6,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.146,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.143,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.15,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.4,0.148,30.4,62,0
10.3,0.145,30.3,62,0
10.4,0.145,30.4,62,0
10.4,0.148,30.4,62,0
10.3,0.145,30.3,62,0
10.4,0.148,30.4,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.143,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.148,30.3,62,0
10.4,0.148,30.4,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.146,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.2,0.148,30.2,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.2,0.148,30.2,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.2,0.148,30.2,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.3,0.148,30.3,62,0
10.2,0.145,30.2,62,0
10.3,0.145,30.3,62,0
10.3,0.145,30.3,62,0
10.2,0.148,30.2,62,0
10.3,0.148,30.3,62,0
10.2,0.148,30.2,62,0
10.2,0.15,30.2,62,0
10.2,0.145,30.2,62,0
